Time slot assigned,Total Minutes,Transcription Start,Transcription End,Translation Start,Translation End,Time spent to complete (minutes),Average,Video/Team
0-2,2,1:27 PM,1:40 PM,1:40 PM,1:54 PM,27,13,WO #1 - Video #1 (J)
2-4,2,1:25 PM,1:47 PM,1:47 PM,2:31 PM,66,33,WO #1 - Video #1 (J)
4-6,2,1:26 PM,1:37 PM,1:37 PM,2:18 PM,52,26,WO #1 - Video #1 (J)
6-8,2,1:26 PM,1:41 PM,1:41 PM,2:21 PM,55,27,WO #1 - Video #1 (J)
8-10,2,1:25 PM,1:45 PM,1:45 PM,2:45 PM,80,40,WO #1 - Video #1 (J)
10-12,2,,,1:31 PM,1:54 PM,23,11,WO #1 - Video #1 (J)
12-14,2,1:27 PM,1:42 PM,1:44 PM,2:14 PM,45,22,WO #1 - Video #1 (J)
14-16,2,1:28 PM,2:15 PM,2:15 PM,2:49 PM,81,40,WO #1 - Video #1 (J)
16-18,2,1:27 PM,1:42 PM,1:42 PM,2:43 PM,76,38,WO #1 - Video #1 (J)
18-19,1,1:26 PM,1:43 PM,1:43 PM,2:42 PM,76,76,WO #1 - Video #1 (J)
18-19,1,,,2:48 PM,2:56 PM,8,8,WO #1 - Video #1 (J)
19-20,1,2:18 PM,2:33 PM,2:35 PM,2:44 PM,24,24,WO #1 - Video #1 (J)
20-22,2,1:43 PM,2:10 PM,2:10 PM,2:56 PM,73,36,WO #1 - Video #1 (J)
22-24,2,1:27 PM,1:45 PM,1:46 PM,2:33 PM,65,32,WO #1 - Video #1 (J)
0-2,2,1:38 PM,1:56 PM,1:56 PM,3:08 PM,90,45,WO #1 - Video #1 (M)
2-4,2,1:35 PM,2:05 PM,2:05 PM,3:05 PM,90,45,WO #1 - Video #1 (M)
4-6,2,1:35 PM,1:47 PM,1:47 PM,2:41 PM,66,33,WO #1 - Video #1 (M)
6-8,2,1:40 PM,2:15 PM,2:15 PM,3:25 PM,105,52,WO #1 - Video #1 (M)
8-10,2,1:39 PM,1:52 PM,1:52 PM,2:41 PM,62,31,WO #1 - Video #1 (M)
10-12,2,1:37 PM,1:55 PM,1:55 PM,2:41 PM,64,32,WO #1 - Video #1 (M)
12-14,2,1:36 PM,1:58 PM,1:58 PM,2:41 PM,65,32,WO #1 - Video #1 (M)
14-16,2,1:38 PM,2:12 PM,2:12 PM,2:50 PM,72,36,WO #1 - Video #1 (M)
16-18,2,1:36 PM,2:13 PM,2:13 PM,3:10 PM,94,47,WO #1 - Video #1 (M)
18-20,2,,,2:00 PM,3:10 PM,70,35,WO #1 - Video #1 (M)
20-22,2,,,2:06 PM,2:35 PM,29,14,WO #1 - Video #1 (M)
